district_id,state_districts,locale,black_hispanic_range,free_reduced_lunch_range,expend_student_range
4183,utah,town,0 - 0.2,0.4 - 0.6,8000 - 10000
4373,utah,city,0 - 0.2,0 - 0.2,8000 - 10000
2441,utah,town,0 - 0.2,0.2 - 0.4,8000 - 10000
3266,utah,town,0 - 0.2,0.4 - 0.6,10000 - 12000
1549,virginia,suburb,0 - 0.2,0.2 - 0.4,10000 - 12000
7980,virginia,rural,0 - 0.2,0.4 - 0.6,10000 - 12000
1791,virginia,city,0.6 - 0.8,0.6 - 0.8,10000 - 12000
4929,virginia,rural,0 - 0.2,0.4 - 0.6,12000 - 14000
7457,washington,city,0.4 - 0.6,0.4 - 0.6,12000 - 14000
2167,washington,suburb,0 - 0.2,0 - 0.2,14000 - 16000
2567,washington,suburb,0 - 0.2,0.2 - 0.4,12000 - 14000
2130,washington,suburb,0.4 - 0.6,0.6 - 0.8,14000 - 16000
5510,washington,city,0.2 - 0.4,0.4 - 0.6,14000 - 16000
1705,washington,city,0.2 - 0.4,0.4 - 0.6,12000 - 14000
5987,wisconsin,suburb,0 - 0.2,0 - 0.2,10000 - 12000
8902,wisconsin,suburb,0 - 0.2,0.2 - 0.4,10000 - 12000
7752,wisconsin,suburb,0 - 0.2,0 - 0.2,10000 - 12000
